,country,founded,id,industry,linkedin_url,locality,name,region,size,website
26450,australia,2004.0,fcm-travel-solutions-australia,"leisure, travel & tourism",linkedin.com/company/fcm-travel-solutions-australia,,fcm travel solutions australia,,10001+,fcmtravel.com
27016,australia,1952.0,mccoll's-transport,transportation/trucking/railroad,linkedin.com/company/mccoll's-transport,,mccoll's transport,,201-500,mccolls.com.au
27679,australia,1989.0,magistrates-court-victoria-melbourne-australia,government administration,linkedin.com/company/magistrates-court-victoria-melbourne-australia,,magistrates’ court of victoria,victoria,501-1000,magistratescourt.vic.gov.au
29390,australia,1981.0,maptek,computer software,linkedin.com/company/maptek,,maptek,,201-500,maptek.com
29474,australia,1983.0,acso,individual & family services,linkedin.com/company/acso,melbourne,acso australia,victoria,201-500,acso.org.au
29683,australia,2004.0,grill'd-pty-ltd,restaurants,linkedin.com/company/grill'd-pty-ltd,,grill'd healthy burgers,,1001-5000,grilld.com.au
29801,australia,2002.0,symbio-networks,telecommunications,linkedin.com/company/symbio-networks,,symbio networks,,201-500,symbionetworks.com
30411,new zealand,,elders-insurance-ltd,insurance,linkedin.com/company/elders-insurance-ltd,,elders insurance ltd,,201-500,elders.co.nz
33324,new zealand,1928.0,ljhooker-new-zealand,real estate,linkedin.com/company/ljhooker-new-zealand,auckland,ljhooker new zealand,auckland,5001-10000,ljhooker.co.nz
33687,australia,1997.0,genesis-fitness-clubs,"health, wellness and fitness",linkedin.com/company/genesis-fitness-clubs,,genesis fitness clubs,victoria,1001-5000,genesisfitness.com.au
35087,australia,1994.0,bass-coast-shire-council,government administration,linkedin.com/company/bass-coast-shire-council,wonthaggi,bass coast shire council,victoria,201-500,basscoast.vic.gov.au
35117,australia,1938.0,orc-international,market research,linkedin.com/company/orc-international,melbourne,orc international,victoria,1001-5000,orcinternational.com
36280,australia,1971.0,noahsarkaus,hospital & health care,linkedin.com/company/noahsarkaus,malvern,noah's ark australia,victoria,201-500,noahsarkinc.org.au
37266,australia,2004.0,tilton-constructions,construction,linkedin.com/company/tilton-constructions,,tilton constructions,act,201-500,tilton.com.au
37975,new zealand,,new-zealand-panels-group,building materials,linkedin.com/company/new-zealand-panels-group,east tamaki,new zealand panels group,auckland,201-500,nzpanels.co.nz
38894,australia,1993.0,ahs-hospitality,hospitality,linkedin.com/company/ahs-hospitality,melbourne,ahs hospitality - a chandler macleod group business,victoria,5001-10000,ahshospitality.com.au
