index,country,founded,id,industry,linkedin_url,locality,name,region,size,website
166526,australia,,sydney-catholic-schools,primary/secondary education,linkedin.com/company/sydney-catholic-schools,,sydney catholic schools,,10001+,sydcatholicschools.nsw.edu.au
167450,australia,1980.0,beckhoff-automation-aus,machinery,linkedin.com/company/beckhoff-automation-aus,oakleigh,beckhoff automation pty ltd,victoria,1001-5000,beckhoff.com.au
169095,australia,,my-chemist,retail,linkedin.com/company/my-chemist,,my chemist,,501-1000,mychemist.com.au
171903,australia,2011.0,gift-abroad-studies,education management,linkedin.com/company/gift-abroad-studies,milton,gift abroad studies,new south wales,501-1000,giftabroadstudies.com
173252,australia,1955.0,akdsoftwoods,building materials,linkedin.com/company/akdsoftwoods,colac,akd softwoods,victoria,501-1000,akd.com.au
175160,australia,1996.0,manly-food-co-operative,food & beverages,linkedin.com/company/manly-food-co-operative,,manly food co-operative,,501-1000,manlyfoodcoop.org
179858,australia,1988.0,university-of-technology-sydney,higher education,linkedin.com/company/university-of-technology-sydney,,university of technology sydney,,5001-10000,uts.edu.au
181096,australia,1985.0,anglican-schools-commission,education management,linkedin.com/company/anglican-schools-commission,claremont,anglican schools commission,western australia,1001-5000,asc.wa.edu.au
182238,australia,,cbus-super-stadium,events services,linkedin.com/company/cbus-super-stadium,robina,cbus super stadium,queensland,501-1000,cbussuperstadium.com.au
182978,australia,,panaust,mining & metals,linkedin.com/company/panaust,fortitude valley,panaust,queensland,1001-5000,panaust.com.au
187073,australia,1987.0,airmasteraustralia,facilities services,linkedin.com/company/airmasteraustralia,,airmaster,,501-1000,airmaster.com.au
187807,australia,2001.0,capital-radiology,medical practice,linkedin.com/company/capital-radiology,,capital radiology,,501-1000,capitalradiology.com.au
188351,australia,2012.0,zinfra,construction,linkedin.com/company/zinfra,,zinfra,victoria,1001-5000,zinfra.com.au
189497,australia,1908.0,austral-bricks,building materials,linkedin.com/company/austral-bricks,,austral bricks,,1001-5000,australbricks.com.au
190751,australia,1835.0,chubbsafes,security and investigations,linkedin.com/company/chubbsafes,baulkham hills,chubbsafes,new south wales,1001-5000,gunnebo-au.com.au
202159,australia,2013.0,uts-postgraduate-business-society,higher education,linkedin.com/company/uts-postgraduate-business-society,,uts postgraduate business society,,1001-5000,utspbs.org
202747,australia,,omnicraft,automotive,linkedin.com/company/omnicraft,melbourne,omnicraft,victoria,501-1000,omnicraftautoparts.com
203022,australia,1987.0,asx,financial services,linkedin.com/company/asx,,asx,,501-1000,asx.com.au
203623,australia,,dreamlabapp,research,linkedin.com/company/dreamlabapp,,dreamlab app,,10001+,ourdreamjob.com.au
204142,australia,1957.0,pgl-australia,"leisure, travel & tourism",linkedin.com/company/pgl-australia,tylden,pgl adventure camps,victoria,501-1000,pgladventurecamps.com.au
204275,australia,1938.0,hazeldenes1,food production,linkedin.com/company/hazeldenes1,lockwood,hazeldenes,victoria,501-1000,hazeldenes.com.au
204359,australia,1994.0,cityofkingston,government administration,linkedin.com/company/cityofkingston,cheltenham,kingston city council,victoria,1001-5000,kingston.vic.gov.au
204862,australia,1983.0,unispace,architecture & planning,linkedin.com/company/unispace,,unispace,,501-1000,unispace.com
208893,australia,2013.0,right-at-home-australia,"health, wellness and fitness",linkedin.com/company/right-at-home-australia,woolloongabba,right at home australia,queensland,1001-5000,rightathome.com.au
211155,australia,,australian-careers-network,higher education,linkedin.com/company/australian-careers-network,,australian careers network,,501-1000,australiancareersnetwork.com.au
211550,australia,1979.0,bmd-group-pty-ltd,construction,linkedin.com/company/bmd-group-pty-ltd,brisbane,bmd group (bmd),queensland,1001-5000,bmd.com.au
211766,australia,1989.0,nando's-australia,food & beverages,linkedin.com/company/nando's-australia,,nando's australia,,5001-10000,nandos.com.au
215298,australia,1999.0,linux-australia,information technology and services,linkedin.com/company/linux-australia,,linux australia,,1001-5000,linux.org.au
216464,australia,2015.0,miles-per-hour,events services,linkedin.com/company/miles-per-hour,south melbourne,miles per hour event management,victoria,1001-5000,milesperhour.com.au
