,country,founded,id,industry,linkedin_url,locality,name,region,size,website
155988,united states,1775.0,armymwr,military,linkedin.com/company/armymwr,sam houston,u.s. army mwr,texas,10001+,armymwr.com
160722,united states,1947.0,jacobs,construction,linkedin.com/company/jacobs,dallas,jacobs,texas,10001+,jacobs.com
165403,united states,1924.0,yrc-freight-inc,transportation/trucking/railroad,linkedin.com/company/yrc-freight-inc,overland park,yrc freight,kansas,10001+,yrcfreight.com
165810,united states,1998.0,envoyair,airlines/aviation,linkedin.com/company/envoyair,irving,envoy air,texas,10001+,envoyair.com
167643,united states,2006.0,engineering-usa,information technology and services,linkedin.com/company/engineering-usa,chicago,engineering usa,illinois,10001+,engusa.com
167799,united states,2018.0,inside-net,legal services,linkedin.com/company/inside-net,palo alto,in-side,california,10001+,in-side.net
168738,united states,,fairfax-county-public-schools,primary/secondary education,linkedin.com/company/fairfax-county-public-schools,falls church,fairfax county public schools,virginia,10001+,fcps.edu
168755,united states,1946.0,petroleum-club-of-houston-inc,oil & energy,linkedin.com/company/petroleum-club-of-houston-inc,houston,petroleum club of houston,texas,10001+,pcoh.com
172055,united states,1998.0,dorado,computer software,linkedin.com/company/dorado,san mateo,apple,california,10001+,dorado.com
172723,united states,,fhtm_2,internet,linkedin.com/company/fhtm_2,,fhtm,colorado,10001+,bcrawfordventures.com
175869,united states,2006.0,jackson-browne-llc.,commercial real estate,linkedin.com/company/jackson-browne-llc.,delray beach,"jackson browne, llc.",florida,10001+,jacksonbrownellc.com
177157,united states,1927.0,professional-claims-managers,legal services,linkedin.com/company/professional-claims-managers,rolling meadows,professional claims managers,illinois,10001+,pcmclaims.net
180200,united states,,dominionenergy,utilities,linkedin.com/company/dominionenergy,richmond,dominion energy,virginia,10001+,dominionenergy.com
183007,united states,1885.0,johnson-controls,mechanical or industrial engineering,linkedin.com/company/johnson-controls,milwaukee,johnson controls,wisconsin,10001+,johnsoncontrols.com
186750,united states,1951.0,cru-global,religious institutions,linkedin.com/company/cru-global,orlando,campus crusade for christ,florida,10001+,cru.org
186794,united states,2016.0,weathers-&-associates-consulting,financial services,linkedin.com/company/weathers-&-associates-consulting,spokane,weathers & associates consulting,washington,10001+,weathersassociates.com
187554,united states,1895.0,pearson-dunn-insurance-inc-,insurance,linkedin.com/company/pearson-dunn-insurance-inc-,rolling meadows,pearson dunn insurance inc.,illinois,10001+,pearsondunn.com
189886,united states,2010.0,meseras,restaurants,linkedin.com/company/meseras,palo alto,meseras,california,10001+,meseras.com
190053,united states,1969.0,pruitthealth,hospital & health care,linkedin.com/company/pruitthealth,norcross,pruitthealth,georgia,10001+,pruitthealth.com
192274,united states,1701.0,city-of-detroit,government administration,linkedin.com/company/city-of-detroit,detroit,city of detroit,michigan,10001+,detroitmi.gov
192819,united states,1973.0,penn-state-dance-marathon,fund-raising,linkedin.com/company/penn-state-dance-marathon,university park,penn state thon™,pennsylvania,10001+,thon.org
194530,united states,,citizens-one,banking,linkedin.com/company/citizens-one,,citizens one,,10001+,citizensone.com
194628,united states,1806.0,valspar,chemicals,linkedin.com/company/valspar,cleveland,valspar,ohio,10001+,valspar.com
195503,united states,,seacon-phoenix-llc,electrical/electronic manufacturing,linkedin.com/company/seacon-phoenix-llc,,te connectivity,rhode island,10001+,seaconbrantner.com
195626,united states,2005.0,flurryanalytics,marketing and advertising,linkedin.com/company/flurryanalytics,san francisco,"flurry, inc.",california,10001+,flurry.com
195748,united states,1996.0,hotels-etc-,wholesale,linkedin.com/company/hotels-etc-,loganville,hotels etc.,georgia,10001+,hotelsetc.com
196617,united states,1819.0,dematic,logistics and supply chain,linkedin.com/company/dematic,atlanta,dematic,georgia,10001+,dematic.com
196643,united states,1945.0,alcon,pharmaceuticals,linkedin.com/company/alcon,fort worth,alcon,texas,10001+,alcon.com
197397,united states,,university-of-rochester-medical-center,hospital & health care,linkedin.com/company/university-of-rochester-medical-center,rochester,university of rochester medical center,new york,10001+,rochester.edu
203286,united states,1865.0,carter's-oshkosh-bgosh,apparel & fashion,linkedin.com/company/carter's-oshkosh-bgosh,atlanta,carter's | oshkosh b'gosh,georgia,10001+,carters.com
