index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
180989,duxton hotels international,hospitality,nan,1001-5000,1991.0,linkedin.com/company/duxton-hotels-international,,0,https://www.seek.com.au/companies/duxton-hotel-435642/reviews,21,21,Unknown,"[[0, 0, 0, 0], [0.61, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/duxton-hotel-435642/reviews']}"
182032,marlinbd,staffing and recruiting,victoria,501-1000,2004.0,linkedin.com/company/marlinbd,https://www.indeed.com/cmp/Marlin/reviews,0,,0,0,Unknown,"[[0.58, 0.35, 0.32, 0.43, 0.59, 0], [0.25, 0, 0.3, 0, 0, 0.05]]","{'indeed': ['https://au.indeed.com/cmp/Marlin-Blue-Pty-Ltd/reviews', 'https://au.indeed.com/cmp/Bd/reviews', 'https://au.indeed.com/cmp/Programmed/reviews', 'https://www.indeed.com/cmp/Marlin-Distributors/reviews', 'https://www.indeed.com/cmp/Marlin/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/melbourne-business-school-434909/reviews', 'https://www.seek.com.au/companies/the-big-group-435033/reviews']}"
182248,baseball canberra,sports,act,1001-5000,1957.0,linkedin.com/company/baseball-canberra,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0.2, 0.12]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/communitieswork-813815/reviews', 'https://www.seek.com.au/companies/lennock-motors-930807/reviews']}"
185871,itm mining - undercarriage - australia,mining & metals,queensland,5001-10000,1957.0,linkedin.com/company/itm-mining,,0,,0,0,Unknown,"[[0, 0, 0.31, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Adl-Mining/reviews'], 'seek': []}"
191946,jj's waste & recycling,environmental services,queensland,1001-5000,1932.0,linkedin.com/company/jjs-waste-recycling,,0,,0,0,Unknown,"[[0.34, 0, 0, 0, 0, 0], [0.4, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Jj-Richards/reviews'], 'seek': ['https://www.seek.com.au/companies/jj-richards-434312/reviews']}"
204003,savings & loans credit union,banking,nan,501-1000,nan,linkedin.com/company/savings-&-loans-credit-union,https://www.indeed.com/cmp/Electro-Savings-Credit-Union/reviews,0,https://www.seek.com.au/companies/credit-union-806351/reviews,20,20,Unknown,"[[0.38, 0, 0.55, 0, 0.46, 0.33], [0.6, 0, 0, 0.21, 0, 0.1]]","{'indeed': ['https://au.indeed.com/cmp/Bank-of-Queensland/reviews', 'https://www.indeed.com/cmp/Electro-Savings-Credit-Union/reviews', 'https://www.indeed.com/cmp/Family-Savings-Credit-Union/reviews', 'https://www.indeed.com/cmp/Extra-Credit-Union/reviews'], 'seek': ['https://www.seek.com.au/companies/credit-union-806351/reviews', 'https://www.seek.com.au/companies/bank-of-queensland-432535/reviews', 'https://www.seek.com.au/companies/gateway-bank-800766/reviews']}"
211066,rxp services limited,information technology and services,nan,501-1000,nan,linkedin.com/company/rxpservices,https://www.indeed.com/cmp/Rxp-Wireless/reviews,0,https://www.seek.com.au/companies/rxp-services-752966/reviews,40,40,Unknown,"[[0, 0.43, 0.37, 0.35, 0.17, 0], [0.67, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Rxp-Wireless/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Australian-Government-Services-Australia/reviews', 'https://au.indeed.com/cmp/Coles/reviews'], 'seek': ['https://www.seek.com.au/companies/rxp-services-752966/reviews']}"
215432,qad australia,computer software,new south wales,1001-5000,nan,linkedin.com/company/qad-australia,https://www.indeed.com/cmp/Qad/reviews,0,https://www.seek.com.au/companies/quad-services-435833/reviews,31,31,Unknown,"[[0.44, 0, 0.29, 0, 0, 0], [0.52, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Qad/reviews', 'https://www.indeed.com/cmp/Qad,-Inc/reviews'], 'seek': ['https://www.seek.com.au/companies/quad-services-435833/reviews']}"
216637,hanwha mining services,mining & metals,new south wales,1001-5000,1955.0,linkedin.com/company/hanwha-mining-services,https://au.indeed.com/cmp/Hanwha-Mining-Services/reviews,2,,0,2,Unknown,"[[0.83, 0, 0.42, 0.31, 0, 0], [0, 0, 0.4, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Hanwha-Mining-Services/reviews', 'https://www.indeed.com/cmp/Hanwha/reviews', 'https://au.indeed.com/cmp/Mining-Company/reviews'], 'seek': ['https://www.seek.com.au/companies/wilson-mining-802549/reviews']}"
218746,department of health victoria,hospital & health care,victoria,501-1000,nan,linkedin.com/company/department-of-health-victoria,https://au.indeed.com/cmp/Department-of-Health/reviews,29,https://www.seek.com.au/companies/department-of-health-n-human-services-vic-435157/reviews,28,57,Unknown,"[[0.57, 0.69, 0, 0, 0, 0], [0, 0.63, 0.55, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Victorian-Government-Department-of-Health-and-Human-Services/reviews', 'https://au.indeed.com/cmp/Department-of-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/department-of-health-n-human-services-vic-435157/reviews', 'https://www.seek.com.au/companies/australian-department-of-health-432582/reviews']}"
218833,unsw defence research institute,defense & space,act,1001-5000,2018.0,linkedin.com/company/unsw-defence-research-institute,,0,https://www.seek.com.au/companies/university-of-new-south-wales-799150/reviews,128,128,Unknown,"[[0, 0, 0, 0, 0.24, 0], [0.45, 0, 0, 0, 0.2, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Department-of-Defence/reviews'], 'seek': ['https://www.seek.com.au/companies/university-of-new-south-wales-799150/reviews', 'https://www.seek.com.au/companies/unsw-global-753101/reviews']}"
219923,west digital,media production,nan,5001-10000,nan,linkedin.com/company/west-digital,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0, 0], [0, 0, 0, 0.17, 0.28, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/western-areas-995331/reviews']}"
222704,nsw treasury,government administration,nan,501-1000,1824.0,linkedin.com/company/nsw-treasury,https://au.indeed.com/cmp/Nsw-Treasury/reviews,3,https://www.seek.com.au/companies/nsw-treasury-436697/reviews,10,13,Unknown,"[[0.81, 0.43, 0, 0, 0, 0], [0, 0.73, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Nsw-Treasury/reviews', 'https://au.indeed.com/cmp/Nsw-Government/reviews'], 'seek': ['https://www.seek.com.au/companies/nsw-treasury-436697/reviews']}"
224760,sice anz,information technology and services,nan,1001-5000,2005.0,linkedin.com/company/siceanz,,0,https://www.seek.com.au/companies/anz-432303/reviews,656,656,Unknown,"[[0.37, 0, 0, 0, 0, 0], [0, 0.45, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Anz-Banking-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/anz-432303/reviews']}"
224791,central queensland university,nan,queensland,501-1000,1970.0,linkedin.com/company/central-queensland-university,https://au.indeed.com/cmp/Central-Queensland-University/reviews,33,https://www.seek.com.au/companies/cquniversity-433525/reviews,52,85,Unknown,"[[0.87, 0, 0, 0, 0, 0], [0.62, 0, 0.52, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Central-Queensland-University/reviews'], 'seek': ['https://www.seek.com.au/companies/cquniversity-433525/reviews', 'https://www.seek.com.au/companies/cq-university-804208/reviews']}"
226027,landmark agribusiness,chemicals,victoria,1001-5000,1867.0,linkedin.com/company/landmarkagribusiness,https://au.indeed.com/cmp/Landmark-Group/reviews,5,https://www.seek.com.au/companies/landmark-group-436116/reviews,13,18,Unknown,"[[0, 0.48, 0.54, 0, 0, 0], [0.64, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Landmark-Operations-Limited/reviews', 'https://au.indeed.com/cmp/Landmark-Group/reviews'], 'seek': ['https://www.seek.com.au/companies/landmark-group-436116/reviews']}"
226880,ymca whittlesea,"health, wellness and fitness",nan,501-1000,1986.0,linkedin.com/company/ymca-whittlesea,https://au.indeed.com/cmp/Ymca-Whittlesea/reviews,2,,0,2,Unknown,"[[0.85, 0, 0.39, 0, 0, 0], [0, 0, 0.38, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ymca-Whittlesea/reviews', 'https://au.indeed.com/cmp/Ymca/reviews'], 'seek': ['https://www.seek.com.au/companies/ymca-432416/reviews']}"
229294,grass australia / new zealand,furniture,victoria,1001-5000,1929.0,linkedin.com/company/grassmovementsystems,https://au.indeed.com/cmp/Grassports/reviews,2,https://www.seek.com.au/companies/standards-australia-814724/reviews,15,17,Unknown,"[[0.44, 0.28, 0.28, 0.18, 0.23, 0.19], [0.36, 0, 0.45, 0.31, 0, 0.27]]","{'indeed': ['https://au.indeed.com/cmp/Grassports/reviews', 'https://au.indeed.com/cmp/Landscape-Solutions-087862d8/reviews', 'https://au.indeed.com/cmp/Datacom/reviews', 'https://au.indeed.com/cmp/99-Bikes/reviews', 'https://au.indeed.com/cmp/Harvey-Norman/reviews', 'https://au.indeed.com/cmp/Programmed/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/standards-australia-814724/reviews', 'https://www.seek.com.au/companies/austrak-435598/reviews', 'https://www.seek.com.au/companies/australia-post-432307/reviews']}"
229392,steamships trading company limited,information technology and services,new south wales,1001-5000,1918.0,linkedin.com/company/steamships-trading-company-limited,https://au.indeed.com/cmp/Kollaras-Trading-Company/reviews,2,https://www.seek.com.au/companies/steamatic-813834/reviews,20,22,Unknown,"[[0.61, 0.61, 0.28, 0.44, 0.24, 0], [0.35, 0.41, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Kollaras-Trading-Company/reviews', 'https://au.indeed.com/cmp/Fresh-Trading-Company/reviews', 'https://au.indeed.com/cmp/Asc-Pty-Ltd/reviews', 'https://www.indeed.com/cmp/Steamship-Authority/reviews', 'https://au.indeed.com/cmp/E-&-S-Trading/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/steamatic-813834/reviews']}"
230171,mater health services,hospital & health care,nan,5001-10000,1906.0,linkedin.com/company/mater-health-services,https://au.indeed.com/cmp/Mater-Health-Services/reviews,11,https://www.seek.com.au/companies/mater-group-433644/reviews,92,103,Unknown,"[[0.66, 0.46, 0.72, 0, 0, 0], [0.48, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Mater-Health/reviews', 'https://au.indeed.com/cmp/Mater-Hospital/reviews', 'https://au.indeed.com/cmp/Mater-Health-Services/reviews'], 'seek': ['https://www.seek.com.au/companies/mater-group-433644/reviews']}"
231701,schletter australia,renewables & environment,new south wales,501-1000,1968.0,linkedin.com/company/schletter-australia,https://www.indeed.com/cmp/Schletter/reviews,0,,0,0,Unknown,"[[0.68, 0.57, 0, 0, 0.34, 0], [0, 0, 0, 0.25, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Schletter/reviews', 'https://www.indeed.com/cmp/Schletter-Inc/reviews', 'https://au.indeed.com/cmp/Auschar/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
3379,murrumbidgee local health district (mlhd),hospital & health care,new south wales,1001-5000,nan,linkedin.com/company/murrumbidgee-local-health-district-mlhd-,https://au.indeed.com/cmp/Murrumbidgee-Local-Health-District/reviews,7,https://www.seek.com.au/companies/murrumbidgee-local-health-district-797764/reviews,14,21,Unknown,"[[0.79, 0, 0, 0, 0, 0], [0, 0.77, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Murrumbidgee-Local-Health-District/reviews'], 'seek': ['https://www.seek.com.au/companies/murrumbidgee-local-health-district-797764/reviews']}"
14422,pyrotek [acoustic & thermal insulation],building materials,new south wales,1001-5000,1956.0,linkedin.com/company/pyrotek-acoustic-thermal-insulation,https://www.indeed.com/cmp/Pyrotek/reviews,1,https://www.seek.com.au/companies/fletcher-insulation-434997/reviews,10,11,Unknown,"[[0.45, 0, 0.35, 0, 0, 0.21], [0, 0, 0.52, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Pyrotek/reviews', 'https://www.indeed.com/cmp/Pyrotek,-Inc./reviews', 'https://www.indeed.com/cmp/Pyrotek-Inc/reviews'], 'seek': ['https://www.seek.com.au/companies/fletcher-insulation-434997/reviews']}"
15985,figgins group,retail,nan,501-1000,nan,linkedin.com/company/figgins-group,"https://www.indeed.com/cmp/Figgins-Trees-&-Turf,-Inc/reviews",0,https://www.seek.com.au/companies/the-big-group-435033/reviews,10,10,Unknown,"[[0.57, 0, 0, 0, 0, 0.06], [0, 0.26, 0.47, 0.19, 0, 0.31]]","{'indeed': ['https://www.indeed.com/cmp/Figgins-Trees-&-Turf,-Inc/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/the-big-group-435033/reviews', 'https://www.seek.com.au/companies/australia-post-432307/reviews', 'https://www.seek.com.au/companies/abn-group-806732/reviews']}"
16354,oshclub,education management,victoria,1001-5000,nan,linkedin.com/company/oshclub,,0,https://www.seek.com.au/companies/oshclub-434070/reviews,61,61,Unknown,"[[0, 0, 0, 0, 0, 0], [0.75, 0, 0, 0, 0, 0]]","{'indeed': [], 'seek': ['https://www.seek.com.au/companies/oshclub-434070/reviews']}"
18683,capital group | australia,investment management,new south wales,5001-10000,1931.0,linkedin.com/company/capital-group-australia-company-page,https://www.indeed.com/cmp/Capital-Group/reviews,0,https://www.seek.com.au/companies/capital-hotel-group-814433/reviews,5,5,Unknown,"[[0.64, 0.56, 0, 0.47, 0, 0], [0.6, 0, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Capital-Group/reviews', 'https://www.indeed.com/cmp/The-Capital-Group/reviews', 'https://www.indeed.com/cmp/Capital-Group-1/reviews'], 'seek': ['https://www.seek.com.au/companies/capital-hotel-group-814433/reviews']}"
20723,alesco corporation limited,mechanical or industrial engineering,new south wales,1001-5000,nan,linkedin.com/company/alesco-corporation-limited,,0,https://www.seek.com.au/companies/alsco-433170/reviews,60,60,Unknown,"[[0, 0, 0, 0.29, 0.32, 0], [0.45, 0, 0.23, 0.18, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Alsco/reviews', 'https://au.indeed.com/cmp/Alsco-Pty-Ltd/reviews'], 'seek': ['https://www.seek.com.au/companies/alsco-433170/reviews', 'https://www.seek.com.au/companies/asx-435063/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews']}"
21920,hunter new england local health district,hospital & health care,new south wales,10001+,nan,linkedin.com/company/hunternewenglandhealth,https://au.indeed.com/cmp/Hunter-New-England-Health/reviews,25,https://www.seek.com.au/companies/hunter-new-england-local-health-district-609517/reviews,47,72,Unknown,"[[0.67, 0, 0, 0, 0, 0], [0, 0.8, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Hunter-New-England-Health/reviews'], 'seek': ['https://www.seek.com.au/companies/hunter-new-england-local-health-district-609517/reviews']}"
23494,penfold buscombe,printing,nan,501-1000,nan,linkedin.com/company/penfold-buscombe,https://au.indeed.com/cmp/Harvey-Norman/reviews,343,https://www.seek.com.au/companies/penfold-projects-814424/reviews,11,354,Unknown,"[[0.41, 0.32, 0.3, 0, 0.05, 0.2], [0.6, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Harvey-Norman/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Australia-Post/reviews', 'https://au.indeed.com/cmp/Big-W/reviews', 'https://au.indeed.com/cmp/Indeed/reviews'], 'seek': ['https://www.seek.com.au/companies/penfold-projects-814424/reviews']}"
24810,tamco australia,electrical/electronic manufacturing,victoria,501-1000,1964.0,linkedin.com/company/tamco-australia,https://au.indeed.com/cmp/Tamco-Electrical-Industries-Australia-Ltd/reviews,2,https://www.seek.com.au/companies/sabco-australia-877925/reviews,8,10,Unknown,"[[0.6, 0.5, 0.44, 0, 0.3, 0], [0, 0, 0.21, 0.59, 0.23, 0]]","{'indeed': ['https://au.indeed.com/cmp/Tamco-Electrical-Industries-Australia-Ltd/reviews', 'https://www.indeed.com/cmp/Tamco/reviews', 'https://www.indeed.com/cmp/Tamco-Group/reviews', 'https://au.indeed.com/cmp/Taco-Bell/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/sabco-australia-877925/reviews', 'https://www.seek.com.au/companies/appco-group-434632/reviews']}"
29686,allphones,telecommunications,nan,501-1000,nan,linkedin.com/company/allphones,https://au.indeed.com/cmp/Allphones/reviews,18,https://www.seek.com.au/companies/allphones-432817/reviews,12,30,Unknown,"[[0.92, 0, 0, 0, 0, 0], [0.79, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Allphones/reviews'], 'seek': ['https://www.seek.com.au/companies/allphones-432817/reviews']}"
39386,insurance australia group services pty limited,nan,new south wales,5001-10000,1963.0,linkedin.com/company/insurance-australia-group-services-pty-limited,,0,,0,0,Unknown,"[[0.31, 0, 0, 0, 0, 0], [0, 0.28, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Iag/reviews'], 'seek': ['https://www.seek.com.au/companies/iag-432795/reviews']}"
49289,amello hospitality group,hospitality,victoria,501-1000,2005.0,linkedin.com/company/amello-hospitality-group,https://au.indeed.com/cmp/Silk-Hospitality/reviews,28,https://www.seek.com.au/companies/empire-hospitality-437060/reviews,8,36,Unknown,"[[0, 0.38, 0, 0.51, 0, 0.15], [0.62, 0, 0, 0.23, 0.09, 0.17]]","{'indeed': ['https://au.indeed.com/cmp/Post-Office-Hotel/reviews', 'https://au.indeed.com/cmp/Silk-Hospitality/reviews', 'https://au.indeed.com/cmp/The-Hotel-Windsor/reviews'], 'seek': ['https://www.seek.com.au/companies/empire-hospitality-437060/reviews', 'https://www.seek.com.au/companies/international-hotel-services-801638/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/gambaro-hotel-800751/reviews']}"
51424,blake dawson,law practice,nan,1001-5000,nan,linkedin.com/company/blake-dawson,,0,,0,0,Unknown,"[[0.33, 0, 0, 0, 0.25, 0.38], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Ashurst/reviews', 'https://au.indeed.com/cmp/Dawsons-Group-of-Companies/reviews', 'https://www.indeed.com/cmp/Dawson-5/reviews'], 'seek': []}"
54753,melbourne it ltd,computer software,victoria,501-1000,1996.0,linkedin.com/company/melbourne-it-ltd,https://au.indeed.com/cmp/Melbourne-IT/reviews,3,,0,3,Unknown,"[[0.38, 0.63, 0, 0, 0, 0], [0.36, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/B&E-Food/reviews', 'https://au.indeed.com/cmp/Melbourne-IT/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
57964,qut ace australian centre for entrepreneurship research,research,queensland,1001-5000,2005.0,linkedin.com/company/qut-ace-australian-centre-for-entrepreneurship-research,https://au.indeed.com/cmp/Queensland-University-of-Technology/reviews,59,https://www.seek.com.au/companies/queensland-university-of-technology-432435/reviews,137,196,Unknown,"[[0.3, 0.42, 0, 0, 0, 0], [0.45, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Qut/reviews', 'https://au.indeed.com/cmp/Queensland-University-of-Technology/reviews'], 'seek': ['https://www.seek.com.au/companies/queensland-university-of-technology-432435/reviews']}"
