index,name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,glassdoor_url,glassdoor_reviews,total_reviews,correct,scores,valid_urls,linkedin_bool
60841,bondi surf bathers life saving club,public safety,,1001-5000,1907.0,linkedin.com/company/bondi-surf-bathers-life-saving-club,https://au.indeed.com/cmp/Surf-Life-Saving-Nsw/reviews,2,https://www.seek.com.au/companies/surf-life-saving-nsw-877948/reviews,4,,0,6,Unknown,"[[0, 0.5, 0.36, 0, 0, 0, 0], [0.59, 0, 0, 0, 0, 0], [0.32, 0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Surf-Life-Saving-Nsw/reviews', 'https://www.indeed.com/cmp/Bondi-Beach-Bar/reviews'], 'seek': ['https://www.seek.com.au/companies/surf-life-saving-nsw-877948/reviews'], 'glassdoor': []}",2
63224,australian broadcasting corporation (abc),broadcast media,new south wales,1001-5000,1932.0,linkedin.com/company/australian-broadcasting-corporation,https://au.indeed.com/cmp/Australian-Broadcasting-Corporation-(abc)/reviews,24,,0,https://www.glassdoor.com.au/Reviews/Australian-Broadcasting-Reviews-E416033.htm,0,24,Unknown,"[[0.89, 0, 0, 0, 0, 0, -0.05], [0, 0, 0], [0.72, 0.67, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Australian-Broadcasting-Corporation-(abc)/reviews'], 'seek': [], 'glassdoor': []}",2
76452,juniper - a uniting church community,hospital & health care,,1001-5000,1949.0,linkedin.com/company/juniper-a-uniting-church-community,https://au.indeed.com/cmp/Uniting-Church/reviews,8,https://www.seek.com.au/companies/uniting-church-in-australia-813929/reviews,10,https://www.glassdoor.com.au/Reviews/Juniper-Communities-Reviews-E271215.htm,0,18,Unknown,"[[0.46, 0.45, 0.48, 0, 0, 0.21, 0.26], [0, 0.44, 0.47, 0, 0.33, 0, 0], [0.63, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Juniper/reviews', 'https://au.indeed.com/cmp/Juniper-Aged-Care/reviews', 'https://au.indeed.com/cmp/Uniting-Church/reviews', 'https://au.indeed.com/cmp/Uniting/reviews', 'https://au.indeed.com/cmp/Uniting-Church-in-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/juniper-806801/reviews', 'https://www.seek.com.au/companies/uniting-church-in-australia-813929/reviews', 'https://www.seek.com.au/companies/juniper-networks-434718/reviews'], 'glassdoor': []}",2
83093,toga,real estate,,1001-5000,1963.0,linkedin.com/company/toga,,0,,0,https://www.glassdoor.com.au/Reviews/Toga-Far-East-Hotels-Reviews-E1058144.htm,0,0,Unknown,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0], [0.44, 0, 0]]","{'indeed': [], 'seek': [], 'glassdoor': []}",2
84612,dialog google solutions practice,information technology and services,act,1001-5000,1979.0,linkedin.com/company/dialog-google-solutions,,0,https://www.seek.com.au/companies/dialogit-434067/reviews,35,https://www.glassdoor.com.au/Reviews/Dialog-Information-Technology-Reviews-E135247.htm,0,35,Unknown,"[[0, 0, 0.35, 0.24, 0.12, 0.12, 0.1], [0.51, 0, 0.35, 0, 0.12, 0, 0], [0.52, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Google/reviews', 'https://au.indeed.com/cmp/Concentrix/reviews', 'https://au.indeed.com/cmp/Probe-Group/reviews', 'https://au.indeed.com/cmp/Bgis/reviews', 'https://au.indeed.com/cmp/Ventia-1/reviews'], 'seek': ['https://www.seek.com.au/companies/dialogit-434067/reviews', 'https://www.seek.com.au/companies/google-433216/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews'], 'glassdoor': []}",2
86708,brisbane diamantina health partners,hospital & health care,queensland,5001-10000,2014.0,linkedin.com/company/diamantina-health-partners,https://www.indeed.com/cmp/Healthpartners/reviews,0,,0,https://www.glassdoor.com.au/Reviews/Health-Partners-Reviews-E1256420.htm,0,0,Unknown,"[[0.51, 0.6, 0, 0.43, 0.13, 0.08, 0], [0, 0, 0.4, 0, 0, 0.1, 0.14], [0.61, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Queensland-Health/reviews', 'https://www.indeed.com/cmp/Healthpartners/reviews', 'https://www.indeed.com/cmp/Health-Partners-Inc./reviews', 'https://au.indeed.com/cmp/Myer/reviews', 'https://au.indeed.com/cmp/Hays/reviews'], 'seek': ['https://www.seek.com.au/companies/queensland-health-432313/reviews', 'https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/health-world-814975/reviews'], 'glassdoor': []}",2
90860,state transit authority of nsw,transportation/trucking/railroad,new south wales,1001-5000,,linkedin.com/company/state-transit-authority-of-nsw,https://au.indeed.com/cmp/State-Transit-Authority/reviews,36,https://www.seek.com.au/companies/state-transit-authority-nsw-434362/reviews,56,https://www.glassdoor.com.au/Reviews/State-Transit-Authority-NSW-Reviews-E658616.htm,0,92,Unknown,"[[0.76, 0, 0, 0, 0, 0, 0], [0.81, 0, 0, 0, 0, 0, 0], [0.72, 0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/State-Transit-Authority/reviews'], 'seek': ['https://www.seek.com.au/companies/state-transit-authority-nsw-434362/reviews'], 'glassdoor': []}",2
91720,la trobe university,higher education,victoria,5001-10000,1967.0,linkedin.com/company/la-trobe-university,https://au.indeed.com/cmp/La-Trobe-University/reviews,68,https://www.seek.com.au/companies/la-trobe-university-432458/reviews,120,https://www.glassdoor.com.au/Reviews/La-Trobe-University-Reviews-E308833.htm,0,188,Unknown,"[[0.8, 0, 0, 0, 0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0], [0.8, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/La-Trobe-University/reviews'], 'seek': ['https://www.seek.com.au/companies/la-trobe-university-432458/reviews'], 'glassdoor': []}",2
91742,bennetts services,construction,queensland,1001-5000,,linkedin.com/company/pestcontrolbennettsservices,https://www.indeed.com/cmp/Bennetts/reviews,0,,0,https://www.glassdoor.com.au/Reviews/Bennett-Medical-Services-Reviews-E973421.htm,0,0,Unknown,"[[0, 0.62, 0.57, 0, 0, 0, 0], [0, 0, 0], [0.73, 0, 0, 0, 0]]","{'indeed': ['https://www.indeed.com/cmp/Bennetts/reviews', ""https://au.indeed.com/cmp/Bennett's-Petroleum/reviews""], 'seek': [], 'glassdoor': []}",2
93462,viva energy australia,oil & energy,victoria,1001-5000,2014.0,linkedin.com/company/viva-energy-australia,https://au.indeed.com/cmp/Viva-Energy-Australia/reviews,5,,0,https://www.glassdoor.com.au/Reviews/Viva-Energy-Australia-Reviews-E1021561.htm,0,5,Unknown,"[[0.82, 0, 0.53, 0, 0, 0, 0], [0, 0, 0], [0.82, 0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Viva-Energy-Australia/reviews', 'https://au.indeed.com/cmp/Viva-Energy/reviews'], 'seek': [], 'glassdoor': []}",2
