name,industry,region,size,founded,linkedin_url,indeed_url,indeed_reviews,seek_url,seek_reviews,total_reviews,correct,scores,valid_urls
ft workforce,staffing and recruiting,new south wales,501-1000,2012.0,linkedin.com/company/ftworkforceaustralia,,0,,0,0,Unknown,"[[0, 0, 0, 0.24, 0.15, 0.09], [0, 0, 0, 0, 0.12, 0]]","{'indeed': ['https://au.indeed.com/cmp/Final-Trim-Operators/reviews', 'https://au.indeed.com/cmp/Bcr/reviews', 'https://au.indeed.com/cmp/City-Beach-Australia/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews']}"
sewells msxi,automotive,victoria,5001-10000,1984.0,linkedin.com/company/sewellsmsxi,https://www.indeed.com/cmp/Msx-International/reviews,1,,0,1,Unknown,"[[0.41, 0, 0, 0, 0, 0], [0, 0.4, 0, 0.22, 0.28, 0.07]]","{'indeed': ['https://www.indeed.com/cmp/Msx-International/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/cummins-433164/reviews', 'https://www.seek.com.au/companies/sealite-861032/reviews', 'https://www.seek.com.au/companies/bgis-806672/reviews']}"
b&d australia,building materials,,501-1000,1946.0,linkedin.com/company/b&d-australia,https://www.indeed.com/cmp/B-&-D-Industries/reviews,0,,0,0,Unknown,"[[0.39, 0.34, 0, 0.46, 0.14, 0.44], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/B&D-Group/reviews', 'https://au.indeed.com/cmp/B&D-Doors/reviews', 'https://www.indeed.com/cmp/B-&-D-Industries/reviews', 'https://au.indeed.com/cmp/D&D/reviews', 'https://www.indeed.com/cmp/B&D-Industrial/reviews'], 'seek': []}"
bank of queensland,financial services,,1001-5000,,linkedin.com/company/bank-of-queensland,https://au.indeed.com/cmp/Bank-of-Queensland/reviews,64,https://www.seek.com.au/companies/bank-of-queensland-432535/reviews,159,223,Unknown,"[[0.83, 0, 0, 0, 0, 0], [0.81, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Bank-of-Queensland/reviews'], 'seek': ['https://www.seek.com.au/companies/bank-of-queensland-432535/reviews']}"
d'orsogna ltd,food & beverages,,501-1000,1949.0,linkedin.com/company/dorsognaltd,https://au.indeed.com/cmp/D'orsogna-Pty-Ltd/reviews,3,,0,3,Unknown,"[[0.75, 0.7, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': [""https://au.indeed.com/cmp/D'orsogna-Pty-Ltd/reviews"", 'https://au.indeed.com/cmp/Dorsogna/reviews'], 'seek': []}"
nationwide towing & transport,transportation/trucking/railroad,new south wales,501-1000,1987.0,linkedin.com/company/nationwide-transport-group,https://au.indeed.com/cmp/Nationwide-Towing-and-Transport/reviews,2,https://www.seek.com.au/companies/nationwide-towing-and-transport-436961/reviews,34,36,Unknown,"[[0, 0.75, 0.61, 0, 0, 0], [0.81, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Nationwide-Towing-and-Transport/reviews', 'https://au.indeed.com/cmp/Nationwide-Towing/reviews'], 'seek': ['https://www.seek.com.au/companies/nationwide-towing-and-transport-436961/reviews']}"
fantastic holdings limited,furniture,,501-1000,,linkedin.com/company/fantastic-holdings-limited,,0,,0,0,Unknown,"[[0, 0, 0, 0, 0.33, 0], [0.33, 0, 0, 0, 0.12, 0]]","{'indeed': ['https://au.indeed.com/cmp/Triple-M-Holdings/reviews'], 'seek': ['https://www.seek.com.au/companies/seek-432600/reviews', 'https://www.seek.com.au/companies/probe-group-436437/reviews']}"
bindaree food group,food production,new south wales,501-1000,,linkedin.com/company/bindareebeefgroup,https://au.indeed.com/cmp/Bindaree-Beef/reviews,20,https://www.seek.com.au/companies/bindaree-beef-436574/reviews,13,33,Unknown,"[[0.62, 0, 0, 0, 0, 0], [0, 0.55, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Bindaree-Beef/reviews'], 'seek': ['https://www.seek.com.au/companies/bindaree-beef-436574/reviews']}"
auto & general,insurance,queensland,1001-5000,1999.0,linkedin.com/company/a&g-insurance-services,https://au.indeed.com/cmp/Auto-&-General/reviews,4,https://www.seek.com.au/companies/auto-n-general-609523/reviews,54,58,Unknown,"[[0.64, 0, 0.69, 0, 0, 0], [0.72, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Auto-&-General-Insurance/reviews', 'https://au.indeed.com/cmp/Auto-&-General/reviews'], 'seek': ['https://www.seek.com.au/companies/auto-n-general-609523/reviews']}"
agri labour australia,human resources,queensland,1001-5000,2010.0,linkedin.com/company/agri-labour-australia-pty-ltd,https://au.indeed.com/cmp/Agri-Labour-Australia-Pty-Ltd/reviews,15,,0,15,Unknown,"[[0.73, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0]]","{'indeed': ['https://au.indeed.com/cmp/Agri-Labour-Australia-Pty-Ltd/reviews'], 'seek': []}"
